,Rugose (biofilm),,,,,,,,,RΔrbmA,,,,,,,,,RΔbap1,,,,,,,,RΔrbmC,,,,,,,RΔABC (no biofilm),,,,,,,
Time [h],Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,Without nanoparticles,,,,"CS-AgNPS 0.11µg/ml
CS 0.22 μg/ml",,,
14.5,0.122,0.138,0.153,0.167,0.001,0.001,0.001,0,,0.089,0.294,0.265,0.226,0.0023,0.002,0.0031,0.0077,,0.191,0.157,0.189,-0.0021,0.0002,-0.0019,0.0025,,0.102,0.155,0.168,0.0023,0.003,0.001,,0.182,0.141,0.165,0.186,0.0012,0.0045,0.0025,0.003
14.75,0.139,0.145,0.16,0.17,0.001,0.001,0.001,0,,0.095,0.297,0.271,0.232,0.0024,0.002,0.003,0.0078,,0.199,0.167,0.198,-0.0021,0.0002,-0.0019,0.0025,,0.112,0.17,0.18,0.0023,0.003,0.001,,0.187,0.145,0.17,0.191,0.0012,0.0044,0.0025,0.003
15,0.145,0.157,0.167,0.179,0.001,0.002,0.001,0,,0.103,0.31,0.277,0.243,0.0026,0.0017,0.0031,0.0081,,0.206,0.182,0.206,-0.0019,0.0003,-0.0019,0.0026,,0.121,0.181,0.188,0.0022,0.003,0.001,,0.192,0.15,0.174,0.197,0.0012,0.0046,0.0025,0.003
15.25,0.154,0.176,0.173,0.188,0.001,0.002,0.001,0,,0.109,0.317,0.282,0.247,0.0025,0.0019,0.0032,0.008,,0.212,0.193,0.214,-0.002,0.0003,-0.0019,0.0026,,0.129,0.19,0.193,0.0023,0.0031,0.001,,0.197,0.155,0.179,0.202,0.0012,0.0046,0.0025,0.0031
15.5,0.169,0.186,0.179,0.195,0.001,0.002,0.001,0,,0.118,0.324,0.29,0.255,0.0024,0.0018,0.0031,0.0081,,0.22,0.206,0.221,-0.002,0.0004,-0.0018,0.0025,,0.144,0.195,0.202,0.0024,0.003,0.001,,0.202,0.16,0.185,0.209,0.0013,0.0047,0.0025,0.003
15.75,0.183,0.185,0.188,0.197,0.001,0.002,0.001,0,,0.126,0.332,0.3,0.258,0.0025,0.0021,0.0031,0.0082,,0.227,0.211,0.226,-0.0019,0.0004,-0.0018,0.0026,,0.144,0.202,0.208,0.0025,0.0031,0.001,,0.205,0.167,0.192,0.215,0.0012,0.0047,0.0024,0.0031
16,0.19,0.196,0.196,0.205,0.001,0.002,0.001,0,,0.135,0.342,0.306,0.269,0.0025,0.0019,0.0034,0.0085,,0.234,0.22,0.232,-0.002,0.0004,-0.0019,0.0026,,0.156,0.209,0.215,0.0024,0.0031,0.001,,0.209,0.173,0.197,0.222,0.0012,0.0047,0.0024,0.0031
16.25,0.196,0.202,0.205,0.208,0.001,0.003,0.001,0,,0.137,0.349,0.311,0.27,0.0027,0.0019,0.0034,0.0086,,0.238,0.227,0.238,-0.0018,0.0005,-0.0018,0.0027,,0.166,0.213,0.223,0.0025,0.0032,0.001,,0.214,0.18,0.205,0.226,0.0012,0.0048,0.0024,0.003
16.5,0.206,0.212,0.211,0.219,0.001,0.003,0.002,-0.001,,0.152,0.351,0.322,0.272,0.0026,0.0017,0.0032,0.0085,,0.244,0.234,0.243,-0.0019,0.0004,-0.0018,0.0027,,0.178,0.22,0.229,0.0023,0.0032,0.001,,0.217,0.188,0.211,0.234,0.0011,0.0048,0.0025,0.003
16.75,0.213,0.216,0.21,0.22,0.001,0.003,0.002,-0.001,,0.153,0.355,0.326,0.268,0.0025,0.002,0.0031,0.0084,,0.25,0.221,0.247,-0.0019,0.0004,-0.0018,0.0025,,0.183,0.225,0.229,0.0025,0.0032,0.001,,0.221,0.195,0.218,0.239,0.0011,0.0047,0.0024,0.003
17,0.219,0.226,0.214,0.223,0.001,0.004,0.002,-0.001,,0.155,0.362,0.332,0.272,0.0026,0.0019,0.0032,0.0087,,0.251,0.229,0.243,-0.0019,0.0004,-0.0018,0.0026,,0.188,0.23,0.232,0.0024,0.0032,0.001,,0.224,0.202,0.226,0.245,0.0011,0.0047,0.0024,0.003
17.25,0.226,0.229,0.217,0.228,0.001,0.005,0.003,-0.001,,0.162,0.365,0.341,0.275,0.0023,0.0018,0.0034,0.0088,,0.256,0.235,0.241,-0.0021,0.0004,-0.0018,0.0027,,0.192,0.234,0.233,0.0035,0.0033,0.001,,0.228,0.211,0.233,0.251,0.0011,0.0047,0.0024,0.003
17.5,0.229,0.229,0.222,0.231,0.001,0.006,0.003,-0.001,,0.163,0.362,0.345,0.28,0.0026,0.0018,0.0032,0.0086,,0.258,0.246,0.243,-0.002,0.0004,-0.0018,0.0027,,0.2,0.241,0.236,0.0026,0.0033,0.001,,0.231,0.219,0.241,0.259,0.0011,0.0046,0.0023,0.0029
17.75,0.237,0.234,0.224,0.238,0.001,0.007,0.004,-0.001,,0.165,0.366,0.35,0.283,0.0025,0.0019,0.0034,0.0088,,0.259,0.253,0.246,-0.002,0.0004,-0.0018,0.0029,,0.202,0.249,0.24,0.0026,0.0034,0.001,,0.234,0.226,0.248,0.264,0.0011,0.0046,0.0024,0.003
18,0.241,0.241,0.225,0.242,0.001,0.008,0.005,-0.001,,0.17,0.369,0.349,0.288,0.0025,0.0018,0.0032,0.0086,,0.265,0.264,0.25,-0.0019,0.0004,-0.0018,0.0026,,0.207,0.246,0.24,0.0026,0.0032,0.001,,0.237,0.233,0.255,0.271,0.0013,0.0046,0.0024,0.0029
