"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-23","2.91",,"0.00","0.0","0.0","62","80","49","  260","  270","10.1","14.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-24","4.25",,"0.00","0.0","0.0","68","82","51","  210","  220","14.1","17.0",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-25","6.26",,"0.00","0.0","0.0","73","88","58","  230","  220","16.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-26","6.26",,"0.00","0.0","0.0","76","86","69","  110","  210","15.0","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-27","4.70",,"0.00","0.0","0.0","77","92","61","  250","  250","15.0","21.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-28","2.46",,"0.00","0.0","0.0","79","93","63","  360","   20","15.0","19.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-29","6.26",,"0.00","0.0","0.0","80","91","68","   80","   70","15.0","19.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-30","12.30",,"0.89","0.0","0.0","78","87","70","  150","  150","36.0","52.1","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-05-31","12.53",,"0.01","0.0","0.0","76","87","70","  190","  190","29.1","36.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-06-01","6.93",,"0.28","0.0","0.0","74","83","57","  300","  310","23.0","28.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-06-02","9.40",,"0.00","0.0","0.0","59","66","53","   60","   70","18.1","23.9",,,,,,,,
