STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/19/16,2.24,,0,,0,0,56,71,40,,320,10,10.1,15,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/20/16,5.59,,0,,0,0,60,70,43,,50,50,14.1,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/21/16,6.26,,0,,0,0,62,74,51,,360,50,17,21.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/22/16,6.71,,0,,0,0,62,70,48,,30,40,18.1,23.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/23/16,2.46,,0,,0,0,61,78,42,,200,190,10.1,14.1,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/24/16,6.93,,0,,0,0,68,84,49,,230,220,18.1,27.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/25/16,8.72,,0,,0,0,74,85,64,,170,210,15,21.9,,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/26/16,10.29,,0.19,,0,0,74,84,63,,260,190,21.9,28,1,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/27/16,6.26,,0,,0,0,74,85,63,,230,190,17,21.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/28/16,9.62,,0.13,,0,0,76,86,67,,210,200,28,36.9,,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/29/16,12.3,,0.01,,0,0,75,84,64,,270,250,25.9,36,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/30/16,6.71,,0,,0,0,72,83,60,,310,280,16.1,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",5/31/16,4.7,,0,,0,0,70,83,53,,30,200,13,23.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/1/16,5.59,,0,,0,0,69,80,59,,150,130,16.1,21,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/2/16,8.28,,0,,0,0,71,80,57,,240,260,21.9,28,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/3/16,2.91,,0,,0,0,67,81,51,,320,260,10.1,13,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/4/16,8.72,,0.07,,0,0,70,83,57,,160,180,21.9,27.1,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/5/16,11.86,,0.16,,0,0,66,70,60,,260,260,25.9,34,1,,1,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/6/16,12.75,,0.01,,0,0,66,80,55,,270,270,31.1,38,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/7/16,10.51,,0,,0,0,58,63,48,,290,300,17,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/8/16,8.72,,0,,0,0,56,69,45,,300,290,18.1,27.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/9/16,3.58,,0,,0,0,58,71,44,,230,230,18.1,23,,,,,,,,
