"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-18","6.04",,"0.00","0.0","0.0","32","42","22","  260","  270","14.1","19.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-19","5.37",,"0.00","0.0","0.0","35","49","23","  260","  210","19.9","28.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-20","7.61",,"0.47","0.0","0.0","36","44","31","  210","  220","21.9","27.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-21","6.26",,"0.00","0.0","0.0","36","40","33","  270","  270","18.1","23.9","    1","    1",,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-22","12.75",,"0.00","0.0","0.0","37","43","27","  310","  310","23.9","32.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-23","5.59",,"0.00","0.0","0.0","32","47","20","  290","  300","14.1","19.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-24","9.17",,"0.00","0.0","0.0","42","58","30","   30","   40","21.9","27.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-25","9.40",,"0.00","0.0","0.0","36","44","28","   50","   50","18.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-26","3.80",,"0.00","0.0","0.0","33","46","22","   50","   20","8.9","15.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-27","10.74",,"0.00","0.0","0.0","39","54","27","  200","  210","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-28","12.97",,"0.00","0.0","0.0","53","67","43","  250","  260","21.9","30.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-29","7.61",,"0.01","0.0","0.0","46","55","36","  170","  160","16.1","19.0",,,,,,,,
